"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.7813333333333334","2.906291398351328E-5","0.2644569816643159","0.13333333333333333","6","7","false","255","44.666666666666664","0","6","0","0.996137037037037","false","0","255","19022","0.19286754002911208"
"3.7409122807017545","2.5078585492441374E-5","0.2673144743753283","0.06666666666666667","6","7","false","6194","14.333333333333334","0","6","0","0.9961931773879142","false","0","6194","16162","0.1729957805907173"
"3.447578947368421","3.244619211713306E-4","0.29005862237420615","0.06535947712418301","18","7","false","980","16.166666666666668","0","18","0","0.9966005847953215","false","0","980","182048","0.06835748792270531"
"3.5414736842105263","5.081581436050762E-5","0.28236832719058375","0.0","4","7","false","2992","124.25","0","4","0","0.9964701754385966","false","0","2992","41412","0.2594736842105263"
"3.0696140350877195","0.0011453701555963955","0.32577385579077317","0.0735930735930736","22","6","false","2507","101.9090909090909","0","22","0","0.9971255360623782","false","0","2507","1073464","0.06789336248254084"
"3.0211929824561405","0.0014211712466054719","0.33099507572238224","0.1076923076923077","26","6","false","986","72.23076923076923","0","26","0","0.9971927875243665","false","0","986","775820","0.04642679900744417"
"3.626105263157895","1.0227088270916585E-4","0.27577798420808175","0.0","10","7","false","4003","15.8","0","10","0","0.9963526315789474","false","0","4003","52940","0.10422535211267606"
"4.026526315789473","2.8470377169079886E-4","0.2483530272926906","0.0","3","7","false","82","22.666666666666668","0","3","0","0.9957964912280701","false","0","82","160336","0.3333333333333333"
"5.026385964912281","0.0","0.19895010191829782","0.0","1","8","false","0","3.0","0","1","0","0.9944077972709552","false","0","0","0","0.0"
"3.1612631578947368","6.60859368283586E-4","0.31632924880127866","0.03463203463203463","22","6","false","343","44.45454545454545","0","22","0","0.9969982456140352","false","0","343","415572","0.052522836015658984"
"3.415157894736842","1.0923258539023375E-4","0.2928122303045247","0.1","5","7","false","15","108.0","0","5","0","0.9966456140350878","false","0","15","50226","0.2034090909090909"
"3.167859649122807","0.001213145262952687","0.315670550706659","0.038306451612903226","32","6","false","4282","35.65625","0","32","0","0.9969890838206629","false","0","4282","736254","0.04195154577883472"
"3.7904561403508774","3.226753558718563E-4","0.263820490983819","0.0","8","7","false","5442","15.625","0","8","0","0.9961243664717349","false","0","5442","177744","0.12942477876106195"
"2.926877192982456","5.484782033161795E-4","0.3416610722163614","0.15384615384615385","13","6","false","1162","206.53846153846155","0","13","0","0.9973237816764132","false","0","1162","711370","0.10377650518495589"
"2.5089122807017543","0.06731818713363998","0.3985791004699038","0.007730812013348165","465","6","false","3401","17.993548387096773","0","465","0","0.9979042884990252","false","0","3401","40631440","0.00518947759175019"
"3.26259649122807","3.521069372553853E-4","0.30650434483351974","0.044444444444444446","10","6","false","6211","62.1","0","10","0","0.9968575048732943","false","0","6211","223080","0.10867256637168142"
"3.9854035087719297","1.1287272095823541E-4","0.2509156219185801","0.0","4","7","false","7106","16.75","0","4","0","0.9958536062378168","false","0","7106","70122","0.2581967213114754"
"3.2297543859649123","0.0016913984341224732","0.3096210672692508","0.07087486157253599","43","7","false","6611","19.930232558139537","0","43","0","0.996903118908382","false","0","6611","999150","0.03299442951190059"
"4.724491228070176","1.8900255366766448E-5","0.21166300279246628","0.0","4","8","false","1348","4.0","0","4","0","0.9948270955165692","false","0","1348","8788","0.2727272727272727"
"3.2979649122807015","5.453478391678815E-4","0.30321729508894374","0.06666666666666667","10","7","false","2239","93.4","0","10","0","0.9968083820662769","false","0","2239","380058","0.12269129287598944"
"2.5299649122807017","0.04639859972716592","0.3952623987573505","0.016595593461265105","336","6","false","5842","28.258928571428573","0","336","0","0.9978750487329435","false","0","5842","34123818","0.008283100788264554"
"3.5298245614035086","0.0","0.28330019880715707","0.0","1","7","false","2","336.0","0","1","0","0.9964863547758285","false","0","2","0","0.0"
"3.5486315789473686","3.219712462538855E-4","0.2817987660180351","0.09803921568627451","18","7","false","3363","13.555555555555555","0","18","0","0.9964602339181287","false","0","3363","185984","0.06900584795321638"
"3.7240701754385963","8.866169484693265E-5","0.2685234039345745","0.0","7","7","false","3","16.857142857142858","0","7","0","0.9962165692007798","false","0","3","46576","0.1495956873315364"
"3.130105263157895","7.129415027915143E-4","0.31947807371536185","0.08571428571428572","15","6","false","1277","94.66666666666667","0","15","0","0.9970415204678362","false","0","1277","397558","0.07719585379159848"
"2.93459649122807","0.003035876709665143","0.3407623511406571","0.07005649717514124","60","6","false","3739","46.85","0","60","0","0.9973130604288499","false","0","3739","2165886","0.029461279461279462"
"3.669754385964912","3.027901588584176E-4","0.27249780089494013","0.06666666666666667","6","7","false","6882","37.833333333333336","0","6","0","0.996292007797271","false","0","6882","197264","0.18218954248366012"
"3.7177543859649123","1.793986123684132E-5","0.26897957642795123","0.1","5","7","false","4947","22.2","0","5","0","0.9962253411306043","false","0","4947","10430","0.21386138613861386"
"4.296280701754386","7.009061550601141E-7","0.23275946555159913","0.0","2","8","false","5740","8.5","0","2","0","0.9954218323586744","false","0","5740","336","0.5"
"3.2759298245614037","2.389096365868708E-4","0.3052568441797695","0.030303030303030304","12","7","false","5550","70.75","0","12","0","0.9968389863547757","false","0","5550","170016","0.09407158836689038"
"3.1072280701754385","0.003295274048817258","0.32183025430236234","0.015318015318015318","78","7","false","4087","16.756410256410255","0","78","0","0.9970732943469786","false","0","4087","3216612","0.020722670339038626"
